"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-01","0.00","90","71"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-02","0.05","98","72"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-03","0.00",,
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-04","0.00","96","75"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-05","0.00","90","75"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-06","0.00","104","78"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-07","0.00","104","80"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-08","0.34","95","72"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-09","0.00","102","77"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-10","0.00","105","74"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-11","0.07","96","76"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-12","0.00","95","74"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-13","0.00","97","73"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-14","0.00","100","72"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-15","0.00","97","74"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-16","0.00","95","72"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-17","0.00","100","67"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-18","0.00","102","70"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-19","0.00","105","79"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-20","0.00","105","78"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-21",,,
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-22",,,
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-23","0.00",,
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-24","0.00","103","75"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-25","0.00","108","75"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-26","0.00","109","85"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-27","0.00","103","75"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-28","0.00","106","74"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-29","0.00","105","80"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-30","0.00","107","79"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-07-31","0.00","98","71"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-01","0.00","102","70"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-02","0.00","106","77"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-03","0.16","92","73"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-04","0.84","88","70"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-05","0.00","85","68"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-06","0.00","90","65"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-07","0.00","95","66"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-08","0.03","95","70"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-09","0.00","104","77"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-10","0.10","97","72"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-11","0.15","92","72"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-12","0.18","94","71"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-13","0.00","92","70"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-14","0.00","92","69"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-15","0.00","95","66"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-16","0.00","99","73"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-17","0.00","102","76"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-18","0.00","100","74"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-19","0.00","100","71"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-20","0.00","101","75"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-21","0.00","98","74"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-22","0.00","99","75"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-23","0.00","100","73"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-24","0.00","101","74"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-25","0.00","103","76"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-26","0.00","104","79"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-27","0.00","104","77"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-28","0.01","99","74"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-29","0.00","98","67"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-30","0.00","101","60"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-08-31","0.00","103","73"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-01","0.00","102","73"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-02","0.00","98","68"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-03","0.00","109","75"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-04","0.00","109","65"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-05","0.00","108","69"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-06","0.00","104","82"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-07","0.00","105","76"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-08","0.00","96","72"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-09","0.00","92","69"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-10","0.00","91","58"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-11","0.00","96","65"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-12","0.03","88","67"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-13","0.34","78","69"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-14","0.00","91","69"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-15","0.10","89","68"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-16","0.00","88","68"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-17","0.00","88","68"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-18","0.00","93","67"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-19","0.00","94","71"
