EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5454565,POLK CO.,CROOKSTON,05/21/2005,1418,Tornado, ,F2,0,0,10000,0,MN,CST, ,1189941,C,119,FGF,0,0,NWS STORM SURVEY, ,.3,75,6,N,6,N,CROOKSTON,05/21/2005,1419,47.86667,-96.61667,47.86667,-96.61667,"A tornado touched down north of Crookston, and created a west-to-east damage path.  The tornado hit a well-constructed pole barn and then travelled into an open field.  Several large trees were snapped in half.  The estimated peak wind speed was 140 mph.","",1
5450165,SURRY CO.,CLAREMONT,05/23/2005,1616,Tornado, ,F0,0,0,0,0,VA,EST, ,1189670,C,181,AKQ,0,0,BROADCAST MEDIA, ,.3,20,3,SE,3,SE,CLAREMONT,05/23/2005,1617,37.2,-76.91667,37.2,-76.91667,"News media video from a helicopter of tornado. Tornado occurred in a plowed field and there was no tree damage reported.","",2
5452827,WELD CO.,STONEHAM,05/24/2005,1331,Tornado, ,F0,0,0,0,0,CO,MST, ,1190518,C,123,BOU,0,0,TRAINED SPOTTER, ,.1,50, , , , ,STONEHAM,05/24/2005,1331,40.6,-103.65,40.6,-103.65,"A small tornado touched down but did no damage.","",3
5452820,MORGAN CO.,SNYDER,05/24/2005,1359,Tornado, ,F0,0,0,0,0,CO,MST, ,1190518,C,87,BOU,0,0,TRAINED SPOTTER, ,.1,50,5,N,5,N,SNYDER,05/24/2005,1359,40.38333,-103.58333,40.38333,-103.58333,"A small tornado touched down briefly but did no damage.","",4
5452819,LOGAN CO.,STERLING,05/24/2005,1407,Tornado, ,F0,0,0,0,0,CO,MST, ,1190518,C,75,BOU,0,0,TRAINED SPOTTER, ,.1,50,6,WNW,6,WNW,STERLING,05/24/2005,1407,40.66667,-103.3,40.66667,-103.3,"A small tornado touched down briefly but did no damage.","",5
5452818,WASHINGTON CO.,AKRON,05/24/2005,1435,Tornado, ,F0,0,0,0,0,CO,MST, ,1190518,C,121,BOU,0,0,GENERAL PUBLIC, ,.1,50,8,W,8,W,AKRON,05/24/2005,1440,40.16667,-103.35,40.16667,-103.35,"A small tornado touched down briefly but did no damage.","",6
5450785,ST. LUCIE CO.,PORT ST LUCIE,05/25/2005,1415,Tornado, ,F0,0,0,5000,0,FL,EST, ,1189061,C,111,MLB,0,0,NEWSPAPER, ,.4,4, , , , ,PORT ST LUCIE,05/25/2005,1415,27.26667,-80.31667,27.26667,-80.31667,"An F0 tornado touched down in a residential area near Port St. Lucie, damaging shingles, pool screens and awnings.","",7
5446458,BUTLER CO.,GREENE,05/26/2005,1528,Tornado, ,F0,0,0,0,0,IA,CST, ,1188747,C,23,DMX,0,0,LAW ENFORCEMENT, ,.2,25,2,S,2,S,GREENE,05/26/2005,1528,42.86667,-92.8,42.86667,-92.8,"Brief touchdown in open field south of town.","Thunderstorms developed during the mid to late afternoon hours and persisted into the evening.  A weak trough of low pressure moved through the state during the afternoon setting off the first line of thunderstorms.  A cold front dropping south through South Dakota formed another line of thunderstorms to the northwest.  These storms raced southeast into the state at nearly 50 kts.  The airmass was fairly unstable as a closed upper level low was settling into the area and the cold pool was in place aloft.  Freezing levels were in the 8000 to 8500 foot range.  The Lifted Index was around -5 by late afternoon with 800-1000 J/kg of CAPE.  The airmass was quite dry in the low levels with soundings showing an inverted "V" type structure in a unidirectional profile.  Considerable virga was reported with most of the storms producing 45 to 55 MPH winds as they passed.  A few produced small hail, and one produced a tornado that touched down briefly in a rural area of Butler County.  Damage was spotty with small limbs being taken down.  High winds tore a stop sign out at the base in Dallas County at Woodward.  Trees were downed in the city of Boone in Boone County.  The storms weakened quite rapidly once sunset occurred.",8
5454592,RAWLINS CO.,MC DONALD,05/28/2005,1318,Tornado, ,F0,0,0,0,0,KS,MST, ,1190076,C,153,GLD,0,0,TRAINED SPOTTER, ,.3,25, , , , ,MC DONALD,05/28/2005,1319,39.78333,-101.36667,39.78333,-101.36667,"Brief touchdown over open fields.  No known damage.","",9
5450967,MADISON CO.,MIDWAY,05/28/2005,1644,Tornado, ,F0,0,0,0,0,TX,CST, ,1189363,C,313,HGX,0,0,LAW ENFORCEMENT, ,.2,30, , , , ,MIDWAY,05/28/2005,1646,31.03333,-95.76667,31.03333,-95.76667,"Tornado at Highway 21 East or 10 miles east of I-45; no damage.","",10
5450968,HOUSTON CO.,AUSTONIA,05/28/2005,1708,Tornado, ,F0,0,0,0,0,TX,CST, ,1189363,C,225,HGX,0,0,GENERAL PUBLIC, ,.5,35,3,SSE,3,SSE,AUSTONIA,05/28/2005,1712,31.15,-95.61667,31.15,-95.61667,"Tornado a few miles north of the Eastham prison unit near FM 230; no damage.","",11
5456503,BINGHAM CO.,SHELLEY,05/28/2005,1830,Tornado, ,F0,0,0,0,0,ID,MST, ,1191029,C,11,PIH,0,0,BROADCAST MEDIA, ,.3,35,3,SE,3,SE,SHELLEY,05/28/2005,1835,43.33333,-112.06667,43.33333,-112.08333,"Tornado in open fields.  No damage reported.","",12
5481559,ANGELINA CO.,HUNTINGTON,05/28/2005,1910,Tornado, ,F0,0,0,0,0,TX,CST, ,1200772,C,5,SHV,0,0,NWS STORM SURVEY, ,4,30,14,S,14,S,HUNTINGTON,05/28/2005,1925,31.08333,-94.58333,31.1,-94.5,"NWS Survey concluded that the path was intermittent and consisted of downed trees or trees snapped off from 14 miles south of Huntington to 5 miles southwest of Zavalla.  There was no damage to structures or buildings near the path.","",13
5451526,HANCOCK CO.,KILN,05/29/2005,1403,Tornado, ,F0,0,0,0,0,MS,CST, ,1189231,C,45,LIX,0,0,EMERGENCY MANAGER, ,.1,20,15,N,15,N,KILN,05/29/2005,1403,30.63333,-89.43333,30.63333,-89.43333,"A weak tornado touched down briefly causing no damage.","",14
5451795,MESA CO.,ORCHARD MESA,05/29/2005,1515,Tornado, ,F0,0,0,0,0,CO,MST, ,1190470,C,77,GJT,0,0,TRAINED SPOTTER, ,1,10,1,S,1,S,ORCHARD MESA,05/29/2005,1525,39.01667,-108.56667,39.01667,-108.56667,"","A landspout type tornado was observed over open country by at least two trained weather spotters.  This tornado was also photographed by one of the spotters.",15
5456573,ONEIDA CO.,STONE,05/29/2005,1848,Tornado, ,F0,0,0,0,0,ID,MST, ,1191037,C,71,PIH,0,0,TRAINED SPOTTER, ,.5,30,10,E,10,E,STONE,05/29/2005,1848,42.01667,-112.5,42.01667,-112.5,"Tornado touching ground east of Stone over mountains.","",16
