"BEGIN_DATE","DEATHS_DIRECT","INJURIES_DIRECT","DAMAGE_PROPERTY_NUM","STATE_ABBR","BEGIN_LAT","BEGIN_LON","END_LAT","END_LON","EPISODE_ID","Year","Day","Month","Tornado"
"01/01/2006",0,0,1e+05,"MS",31.05,-89.75,31.06667,-89.73333,1203084,2006,1,1,1
"01/02/2006",0,0,10000,"FL",30.01667,-84.98333,30.01667,-84.98333,1204091,2006,2,1,1
"01/02/2006",0,0,250000,"GA",32.68333,-82.51667,32.68333,-82.51667,1203974,2006,2,1,1
"01/02/2006",0,0,15000,"IL",39.26667,-89.11667,39.26667,-89.11667,1203476,2006,2,1,1
"01/02/2006",0,0,2e+06,"KY",37.66667,-85.96667,37.76667,-85.9,1203303,2006,2,1,1
"01/02/2006",0,0,0,"MO",38.68333,-90.91667,38.7,-90.91667,1203433,2006,2,1,1
"01/11/2006",0,0,20000,"VA",36.95,-77.26667,36.96667,-77.23333,1203408,2006,11,1,1
"01/12/2006",0,0,0,"AR",35.11667,-93.35,35.18333,-93.13333,1203718,2006,12,1,1
"01/13/2006",1,0,5e+05,"AL",31.43333,-87.11667,31.43333,-87.11667,1203738,2006,13,1,1
"01/13/2006",0,13,2e+06,"FL",30.8,-86.7,30.83333,-86.65,1203740,2006,13,1,1
"01/13/2006",0,1,2e+06,"GA",31.25,-83.68333,31.36667,-83.58333,1204104,2006,13,1,1
"01/13/2006",0,1,450000,"LA",31.7,-91.58333,31.71667,-91.55,1203086,2006,13,1,1
"01/13/2006",0,0,350000,"NC",35.28,-81.25,35.28,-81.25,1204002,2006,13,1,1
"01/13/2006",0,0,0,"SC",34.13333,-81.23333,34.13333,-81.23333,1202023,2006,13,1,1
"01/14/2006",0,0,0,"CA",37.53333,-120.28333,37.53333,-120.28333,1204030,2006,14,1,1
"01/14/2006",0,0,250000,"NC",35.5,-76,35.5,-76,1202371,2006,14,1,1
"01/14/2006",0,0,15000,"VA",37.76667,-76.88333,37.76667,-76.88333,1203409,2006,14,1,1
"01/17/2006",0,0,1000,"SC",34.35,-81.95,34.35,-81.95,1204003,2006,17,1,1
"01/28/2006",0,0,1e+05,"KS",38.06667,-97.33333,38.1,-97.28333,1204171,2006,28,1,1
"01/28/2006",0,0,0,"WA",46.98333,-122.73333,46.98333,-122.73333,1203318,2006,28,1,1
"02/02/2006",0,0,25000,"AL",31.63333,-87.25,31.63333,-87.25,1204339,2006,2,2,1
"02/02/2006",0,1,750000,"LA",30,-90.25,30.01667,-90.23333,1204383,2006,2,2,1
"02/04/2006",0,0,0,"SC",34.17,-81.13333,34.25,-81.06667,1203090,2006,4,2,1
"02/04/2006",0,1,94500,"VA",36.78,-79.55,36.82,-79.53333,1204484,2006,4,2,1
"02/10/2006",0,0,35000,"TX",29.7,-95.51667,29.7,-95.51667,1204049,2006,10,2,1
"02/16/2006",0,0,20000,"IL",40.86667,-87.73333,40.86667,-87.73333,1204378,2006,16,2,1
"02/16/2006",0,0,1500000,"IN",39.43333,-87.36667,39.45,-87.3,1203635,2006,16,2,1
"02/16/2006",0,0,0,"MO",37.31667,-91.41667,37.31667,-91.41667,1204475,2006,16,2,1
"03/09/2006",0,0,0,"AR",34.65,-92.06667,34.66667,-92.05,1206616,2006,9,3,1
"03/09/2006",0,0,5000,"MO",38.63333,-93.23333,38.63333,-93.23333,1206351,2006,9,3,1
"03/09/2006",0,0,5e+05,"MS",34.41667,-89.93333,34.43333,-89.91667,1206679,2006,9,3,1
"03/10/2006",0,0,1500,"CA",33.05,-117.3,33.05,-117.3,1206151,2006,10,3,1
"03/11/2006",0,0,0,"AR",35.5,-94.05,35.5,-94.05,1206194,2006,11,3,1
"03/11/2006",0,0,25000,"CA",33.1,-116.93333,33.1,-116.86667,1206149,2006,11,3,1
"03/11/2006",0,0,0,"IL",39.53333,-90.76667,39.53333,-90.76667,1205296,2006,11,3,1
"03/11/2006",0,0,0,"MO",36.63333,-93.25,36.71667,-93.15,1206143,2006,11,3,1
"03/11/2006",0,0,7e+05,"OK",35.15,-94.68333,35.15,-94.68333,1206191,2006,11,3,1
"03/12/2006",0,0,0,"AR",36.3,-91.96667,36.31667,-91.95,1206614,2006,12,3,1
"03/12/2006",0,0,50000,"IL",37.3,-88.91667,37.3,-88.9,1205810,2006,12,3,1
"03/12/2006",0,0,10000,"KS",39,-95.01667,39,-95,1206305,2006,12,3,1
"03/12/2006",0,0,1000,"MO",39.05,-94.51667,39.05,-94.51667,1206348,2006,12,3,1
"03/12/2006",0,0,50000,"OK",35.91667,-94.61667,35.91667,-94.61667,1206197,2006,12,3,1
"03/13/2006",0,0,6000,"AL",33.85,-88.18333,33.85,-88.18333,1206232,2006,13,3,1
"03/13/2006",0,0,0,"IL",39.28333,-90.73333,39.3,-90.66667,1205292,2006,13,3,1
"03/13/2006",0,1,8e+05,"MO",38.85,-91.31667,38.88333,-91.26667,1205291,2006,13,3,1
"03/13/2006",0,0,0,"MS",33.58333,-89.61667,33.6,-89.58333,1204766,2006,13,3,1
"03/19/2006",0,0,0,"AZ",35.28333,-110.96667,35.28333,-110.96667,1206444,2006,19,3,1
"03/19/2006",0,0,1500000,"TX",29.21667,-99.71667,29.21667,-99.68333,1204887,2006,19,3,1
"03/20/2006",0,0,0,"MS",31.71667,-89.45,31.76667,-89.41667,1204844,2006,20,3,1
"03/20/2006",0,0,10000,"OK",34.73333,-98.55,34.73333,-98.55,1205636,2006,20,3,1
"03/23/2006",0,0,0,"FL",26.18333,-80.28333,26.18333,-80.28333,1205102,2006,23,3,1
"03/23/2006",0,0,0,"HI",20.78333,-157,20.78333,-157,1205135,2006,23,3,1
"03/25/2006",0,0,0,"HI",20.91667,-156.35,20.91667,-156.35,1205147,2006,25,3,1
"03/25/2006",0,0,210000,"ID",43.18333,-112.35,43.18333,-112.35,1205858,2006,25,3,1
"03/28/2006",0,0,10000,"CA",37.33333,-120.63333,37.35,-120.63333,1206536,2006,28,3,1
"03/29/2006",0,0,0,"CA",34.63333,-120.45,34.63333,-120.45,1204374,2006,29,3,1
"03/30/2006",0,0,1e+05,"IA",42.5,-96.36667,42.5,-96.35,1206431,2006,30,3,1
"03/30/2006",0,0,0,"IL",39.66667,-91.05,39.71667,-90.95,1205412,2006,30,3,1
"03/30/2006",0,0,80000,"KS",38.06667,-97.91667,38.06667,-97.91667,1206383,2006,30,3,1
"03/30/2006",0,8,8e+05,"MO",39.93333,-94.83333,39.93333,-94.83333,1206307,2006,30,3,1
"03/30/2006",0,0,0,"NE",41.35,-97.33333,41.35,-97.31667,1205524,2006,30,3,1
"03/30/2006",0,0,0,"OK",33.91667,-97.45,33.91667,-97.45,1205640,2006,30,3,1
"03/30/2006",0,0,0,"TX",33.7,-96.98333,33.7,-96.98333,1206532,2006,30,3,1
