EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,
5448294,NEMAHA CO.,CORNING,4/21/05,1448,Tornado, ,F0,0,0,0,0,KS,CST, ,1188196,C,131,TOP,0,0,STORM CHASER, ,0.1,25,3,NW,3,NW,CORNING,4/21/05,1449,39.68333,-96.06667,39.68333,-96.06667,Very weak tornado briefly touched down. It caused little to no damage as it traveled across open country.,,1,,,
5447302,CRAWFORD CO.,MC CUNE,4/21/05,1519,Tornado, ,F0,0,0,0,0,KS,CST, ,1188088,C,37,SGF,0,0,LAW ENFORCEMENT, ,0.2,50,7,NW,7,NW,MC CUNE,4/21/05,1519,37.41667,-95.1,37.41667,-95.1,Crawford County Emergency Management observed a tornado briefly touch down in western Crawford County.  A National Weather Service storm survey indicated that several trees were downed from tornadic winds.,,2,,,
5447848,ATCHISON CO.,ATCHISON,4/21/05,1604,Tornado, ,F0,0,0,0,0,KS,CST, ,1188569,C,5,EAX,0,0,STORM CHASER, ,0.5,50,5,W,5,W,ATCHISON,4/21/05,1606,39.56667,-95.23333,39.53333,-95.21667,"Brief tornado touchdown wrapped in rain, photographed by storm chaser in open country.",,3,,,
5447851,ATCHISON CO.,ATCHISON,4/21/05,1610,Tornado, ,F0,0,0,0,0,KS,CST, ,1188569,C,5,EAX,0,0,STORM CHASER, ,2,50,10,S,10,S,ATCHISON,4/21/05,1613,39.41667,-95.13333,39.43333,-95.06667,Tornado videotaped by storm chaser and observed by Leavenworth Co. EMA in open country.,,4,,,
5443280,NEOSHO CO.,GALESBURG,4/21/05,1654,Tornado, ,F3,0,0,200000,0,KS,CST, ,1186787,C,133,ICT,0,0,TRAINED SPOTTER, ,5,200,3,S,3,S,GALESBURG,4/21/05,1705,37.41667,-95.35,37.43333,-95.26667,"Damage summary: Two miles south of Galesburg: One barn damaged & two out-buildings destroyed. Three miles southeast of Galesburg: Two mobile homes destroyed, one frame house dislodged from it's foundation & two barns destroyed. Four miles east-southeast of Galesburg: Frame house unroofed with two exterior walls collapsed. A garage and one shed were destroyed. Tree damage occurred at each of these locations.",,5,,,
5447300,CHEROKEE CO.,MELROSE,4/21/05,1705,Tornado, ,F0,0,0,0,0,KS,CST, ,1188086,C,21,SGF,0,0,NWS STORM SURVEY, ,0.1,20,5,W,5,W,MELROSE,4/21/05,1705,37.03333,-95.03333,37.03333,-95.03333,Cherokee County Emergency Management observed a brief tornado touch down in rural western Cherokee County.  A National Weather Service storm survey revealed that no damage occurred from the tornado.,,6,,,
5443281,NEOSHO CO.,SOUTH MOUND,4/21/05,1719,Tornado, ,F1,0,0,15000,0,KS,CST, ,1186787,C,133,ICT,0,0,TRAINED SPOTTER, ,7,100,2,ESE,2,ESE,SOUTH MOUND,4/21/05,1732,37.41667,-95.2,37.48333,-95.11667,"One frame house was partially unroofed and one barn destroyed. Tornado crossed the Neosho/Crawford county line, 5 miles southeast of St. Paul. The tornado lifted one mile east of the Neosho/Crawford county line.",,7,,,
5443282,LABETTE CO.,STRAUSS,4/21/05,1734,Tornado, ,F0,0,0,0,0,KS,CST, ,1186787,C,99,ICT,0,0,TRAINED SPOTTER, ,0.5,55, , , , ,STRAUSS,4/21/05,1734,37.33333,-95.08333,37.33333,-95.08333,Brief event that caused tree damage.,,8,,,
5443007,TOM GREEN CO.,WALL,4/21/05,1753,Tornado, ,F0,0,0,0,0,TX,CST, ,1186773,C,451,SJT,0,0,LAW ENFORCEMENT, ,0.5,30,2,NNE,2,NNE,WALL,4/21/05,1759,31.4,-100.3,31.4,-100.28333,Landspout tornado developed just to the the northeast of the Wall community. This tornado was confirmed through video and remained in open fields.,"An advancing dryline aided by warm afternoon temperatures in the 90s was able to break the cap, and resulted in isolated thunderstorm development. It was mostly marginally severe hail, however a weak tornado developed near the Wall community.",9,,,
5448632,ROGERS CO.,INOLA,4/21/05,1848,Tornado, ,F0,0,0,0,0,OK,CST, ,1188199,C,131,TSA,0,0,STORM CHASER, ,0.1,30,3,SW,3,SW,INOLA,4/21/05,1848,36.11667,-95.53333,36.11667,-95.53333,Storm chasers witnessed a brief tornado touchdown.  An NWS storm survey indicated no damage from this tornado.,,10,,,
