"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-01","0.91","42","33"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-02","0.00","49","38"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-03","0.00","59","40"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-04","0.04","69","38"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-05","0.00","64","29"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-06","0.00","72","31"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-07","0.00","73","45"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-08","0.00","68","44"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-09","0.05","66","37"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-10","0.00","71","46"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-11","0.00","73","41"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-12","0.00","72","35"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-13","0.00","45","24"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-14","0.00","47","17"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-15","0.00","59","23"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-16","0.00","65","28"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-17","0.10","65","39"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-18","0.74","60","45"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-19","0.82","48","33"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-20","0.00","55","32"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-21","0.00","46","29"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-22","0.00","41","23"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-23","0.00","36","22"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-24","0.00","44","27"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-25","0.00","55","25"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-26","0.00","57","26"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-27","0.00","67","35"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-02-28","0.11","64","46"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-01","0.00","59","33"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-02","0.00","67","28"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-03","0.25","60","36"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-04","0.00","52","27"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-05","0.00","56","24"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-06","0.02","68","41"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-07","0.00","53","31"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-08","0.00","46","28"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-09","0.44","40","31"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-10","0.00","55","32"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-11","0.00","55","25"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-12","0.00","59","26"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-13","0.00","45","34"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-03-14","0.40","42","36"
