"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-01",,"59","40"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-02",,"67","56"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-03",,"68","62"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-04",,"70","56"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-05",,"64","51"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-06",,"62","44"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-07",,"44","37"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-08",,"42","33"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-09",,"51","34"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-10",,"45","41"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-11",,"47","42"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-12",,"67","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-13",,"43","37"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-14",,"44","37"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-15",,"56","33"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-16",,"68","42"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-17",,"62","34"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-18",,"66","40"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-19",,"50","35"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-20",,"64","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-21",,"55","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-22",,"49","35"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-23",,"51","30"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-24",,"59","32"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-25",,"56","40"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-26",,"56","44"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-27",,"63","33"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-28",,"69","47"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-29",,"68","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-30",,"68","41"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-01-31",,"60","53"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-02-01",,"65","51"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-02-02",,"61","44"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-02-03",,"60","40"
"USW00013960","DALLAS FAA AIRPORT, TX US","1998-02-04",,"56","35"
