"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-01","0.00","89","57"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-02","0.09","95","59"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-03","0.00","80","52"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-04","0.04","86","51"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-05","0.00","94","52"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-06","0.02","81","60"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-07","0.00","86","56"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-08","0.54","82","58"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-09","0.05","81","57"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-10","0.09","82","55"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-11","0.01","91","55"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-12","0.00","93","60"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-13","0.00","95","55"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-14","0.00","95","62"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-15","0.00","89","57"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-16","0.00","87","54"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-17","0.00","94","55"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-18","0.00","99","59"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-19","0.00","99","65"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-20","0.00","99","65"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-21","0.06","91","62"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-22","0.82","78","59"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-23","0.04","75","60"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-24","0.20","79","60"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-25","1.44","81","60"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-26","0.00","78","61"
