"STATION","NAME","DATE","AWND","DAEV","DASF","DAWM","EVAP","FMTM","MDEV","MDSF","MDWM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-01",,,,,,,,,,,"0.75",,"9.0",,,"29","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-02",,,,,,,,,,,"0.03",,"0.0",,,"27","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-03",,,,,,,,,,,"0.00",,"0.0",,,"35","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-04",,,,,,,,,,,"0.18",,"0.0",,,"37","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-05",,,,,,,,,,,"0.05",,"0.0",,,"43","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-06",,,,,,,,,,,"0.00",,"0.0",,,"38","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-07",,,,,,,,,,,"0.00",,"0.0",,,"48","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-08",,,,,,,,,,,"0.00",,"0.0",,,"54","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-09",,,,,,,,,,,"0.00",,"0.0",,,"48","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-10",,,,,,,,,,,"0.01",,"0.0",,,"44","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-11",,,,,,,,,,,"0.00",,"0.0",,,"33","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-12",,,,,,,,,,,"0.85",,"0.0",,,"37","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-13",,,,,,,,,,,"0.00",,"0.0",,,"38","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
