"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-01","0.00","104","80"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-02","0.04","105","83"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-03","0.00","99","83"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-04","0.07","85","72"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-05","0.00","96","74"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-06","0.07","99","77"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-07","0.00","104","78"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-08","0.00","101","85"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-09","0.01","101","74"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-10","0.02","98","74"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-11","0.00","95","69"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-12","0.00","100","76"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-13","0.00","101","77"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-14","0.00","102","75"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-15","0.00","104","76"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-16","0.00","102","80"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-17","0.00","103","80"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-18","0.00","103","78"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-19","0.00","101","75"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-20","0.00","96","71"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-21","0.00","92","66"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-22","0.01","91","67"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-23","0.00","91","71"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-24","0.00","91","67"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-25","0.00","87","67"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-26","0.00","90","67"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-27","0.00","92","67"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-28","0.00","95","71"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-29","0.00","94","69"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-09-30","0.00","89","62"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-01","0.00","86","63"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-02","0.00","89","62"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-03","0.00","92","67"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-04","0.00","85","64"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-05","0.00","84","59"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-06","0.00","89","60"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-07","0.00","94","67"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-08","0.00","95","67"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-09","0.00","92","61"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-10","0.00","89","61"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-11","0.00","92","57"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-12","0.00","97","62"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-13","0.00","93","68"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-14","0.00","90","61"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-15","0.00","79","63"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-16","0.00","77","58"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-17","0.00","79","49"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-18","0.00","87","56"
